"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"3506",2000,"Polovan motor","Suzuki","Sport / Super sport","TL 1000 NOV",1998,30000,1000,93,126,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"3514",1300,"Polovan motor","Suzuki","Sport / Super sport","gsxr600",1997,24400,599,88,120,4," Manuelni"," Plava"," Nije registrovan"," Strane tablice"," Nije ostecen"
"3536",1100,"Polovan motor","Suzuki","Enduro / Cross","dr650rs",1994,3000,650,45,61,1," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"3551",1800,"Polovan motor","Suzuki","Sport / Super sport","gsxf600",2000,10500,600,59,80,4," Manuelni"," Crvena"," 09.2017.","Domace tablice"," Nije ostecen"
"3565",1800,"Polovan motor","Suzuki","Chopper / Cruiser","Savage LS650",1992,65000,652,23,31,1," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"3571",3200,"Polovan motor","Suzuki","Sport / Super sport","GSXR K7 HITNO",2008,45000,600,92,125,4," Manuelni"," Crna"," Nije registrovan"," Strane tablice"," Nije ostecen"
"3577",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"3583",1200,"Polovan motor","Suzuki","Sport / Super sport","RF 600 R",1993,50800,600,72,98,4," Manuelni"," Crvena"," 06.2017.","Domace tablice"," Nije ostecen"
"3589",1100,"Polovan motor","Suzuki","Sport / Super sport","RF 400",1996,46500,399,38,52,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"3617",2750,"Polovan motor","Suzuki","Scooter","Burgman 400",2009,35000,400,24,32,1," Automatski"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
