2.690 €,Nov motor,CFMOTO,Naked,150NK,2016. godište,0 km,Kubikaža (cm3) 149,Snaga (kW/KS) 9/12,Broj cilindara 1,Menjač Manuelni,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.990 €,Nov motor,CFMOTO,Naked,650NK,2016. godište,0 km,Kubikaža (cm3) 649,Snaga (kW/KS) 44/60,Broj cilindara 2,Menjač Manuelni,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
2.890 €,Nov motor,CFMOTO,Scooter,JETMAX 250,2016. godište,0 km,Kubikaža (cm3) 250,Snaga (kW/KS) 15/20,nepoznato,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
2.811 €,Nov motor,Vespa,Scooter,SPRINT 50 2T,2017. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,Broj cilindara 1,Menjač Automatski,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.000 €,Polovan motor,Honda,Supermoto,Hornet,2004. godište,40.000 km,Kubikaža (cm3) 850,Snaga (kW/KS) 71/97,nepoznato,nepoznato,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
879 €,Nov motor,Peda,Scooter,THUNDER,2017. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,Broj cilindara 1,Menjač Automatski,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
2.200 €,Polovan motor,Yamaha,Scooter,majesty,2007. godište,40.000 km,Kubikaža (cm3) 400,Snaga (kW/KS) 26/35,Broj cilindara 1,Menjač Automatski,Boja Crna,Registrovan do 07.2017.,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
4.890 €,Polovan motor,Yamaha,Sport / Super sport,FZ1 FAZER 1000 FI,2006. godište,27.000 km,Kubikaža (cm3) 1000,Snaga (kW/KS) 110/150,Broj cilindara 4,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
4.890 €,Polovan motor,Honda,Enduro / Cross,XL 1000 VARADERO FI ABS,2006. godište,33.000 km,Kubikaža (cm3) 1000,Snaga (kW/KS) 69/94,Broj cilindara 2,Menjač Manuelni,Boja Srebrna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.490 €,Polovan motor,Suzuki,Enduro / Cross,DL 1000 V STROM FI,2003. godište,37.000 km,Kubikaža (cm3) 1000,Snaga (kW/KS) 72/98,Broj cilindara 2,Menjač Manuelni,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.790 €,Polovan motor,Honda,Sport / Super sport,CBR 954 FI,2003. godište,31.000 km,Kubikaža (cm3) 900,Snaga (kW/KS) 110/150,Broj cilindara 4,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
