Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
10200,Nov motor,Ducati,Naked,Scrambler Flat Track Pro,2016,0,803,55,75,2, Manuelni,Zuta, Nije registrovan,Domace tablice, Nije ostecen
9340,Nov motor,Ducati,Naked,Scrambler Icon,2017,0,803,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2299,Nov motor,Aprilia,Scooter,SR 50 2T AKCIJA,2013,0,49,3,4,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
20900,Nov motor,Ducati,Touring,Multistrada 1200 Enduro,2016,0,1198,118,160,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
2811,Nov motor,Vespa,Scooter,SPRINT 50 2T,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
7850,Nov motor,KTM,Enduro / Cross,Freeride 350,2017,0,349,25,34,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1099,Nov motor,Peda,Scooter,ET,2016,0,49,3,4,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Piaggio,Scooter,MADLEY 125i.e. ABS,2016,0,125,9,12,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
7573,Nov motor,Kawasaki,Touring,Versys 650,2017,0,649,51,69,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
14300,Nov motor,Yamaha,Naked,MT 10 ABS,2017,0,998,125,170,4, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
21900,Nov motor,Ducati,Chopper / Cruiser,XDiavel S,2016,0,1262,115,156,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
5040,Nov motor,Kawasaki,Naked,z300,2016,0,296,29,39,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
5100,Nov motor,Yamaha,Naked,MT 125 abs,2017,0,124,11,15,1, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
4140,Nov motor,Yamaha,Scooter,TRICITY 125cm,2017,0,125,8,11,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
19700,Nov motor,Yamaha,Sport / Super sport,YZF R1,2017,0,998,147,200,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
1490,Polovan motor,Piaggio,Scooter,beverly 400ie,2006,27000,398,23,31,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
850,Polovan motor,Kymco,Scooter,People 250,2006,35600,251,15,20,1, Automatski, Siva, 08.2017.,Domace tablice, Nije ostecen
4100,Polovan motor,Aprilia,Naked,Shiver,2008,16000,750,70,95,2, Manuelni, Crna, 07.2017.,Domace tablice, Nije ostecen
3300,Polovan motor,Husqvarna,Enduro / Cross,TE 310,2012,160,310,30,41,1, Manuelni,nepoznato, Nije registrovan, Strane tablice, Nije ostecen
390,Polovan motor,Peugeot,Scooter,Vivacity,2001,6000,49,2,3,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
930,Polovan motor,Aprilia,Scooter,ATLANTIC,2003,23456,200,15,20,1, Automatski,nepoznato, 06.2017.,Domace tablice, Nije ostecen
